TrialNumber,Partner,Condition,Photos,Feedback
68,Charlie,Rej,Participant_Images/101_Image_17.jpg,did not like
69,Charlie,Rej,Participant_Images/101_Image_26.jpg,did not like
70,Charlie,Rej,Participant_Images/101_Image_18.jpg,did not like
71,Charlie,Rej,Participant_Images/101_Image_8.jpg,did not like
72,Charlie,Rej,Participant_Images/101_Image_5.jpg,did not like
73,Charlie,Rej,Participant_Images/101_Image_12.jpg,did not like
74,Charlie,Rej,Participant_Images/101_Image_27.jpg,did not like
75,Charlie,Rej,Participant_Images/101_Image_30.jpg,did not like
76,Charlie,Rej,Participant_Images/101_Image_29.jpg,did not like
77,Charlie,Rej,Participant_Images/101_Image_14.jpg,did not like
78,Charlie,Rej,Participant_Images/101_Image_20.jpg,did not like
79,Charlie,Rej,Participant_Images/101_Image_3.jpg,did not like
80,Charlie,Rej,Participant_Images/101_Image_7.jpg,did not like
81,Charlie,Rej,Participant_Images/101_Image_1.jpg,liked
82,Charlie,Rej,Participant_Images/101_Image_16.jpg,did not like
83,Charlie,Rej,Participant_Images/101_Image_25.jpg,did not like
84,Charlie,Rej,Participant_Images/101_Image_22.jpg,did not like
85,Charlie,Rej,Participant_Images/101_Image_10.jpg,did not like
86,Charlie,Rej,Participant_Images/101_Image_11.jpg,did not like
87,Charlie,Rej,Participant_Images/101_Image_23.jpg,liked
88,Charlie,Rej,Participant_Images/101_Image_4.jpg,liked
89,Charlie,Rej,Participant_Images/101_Image_2.jpg,liked
90,Charlie,Rej,Participant_Images/101_Image_19.jpg,liked
