TrialNumber,Partner,Condition,Photos,Feedback
68,Riley,Neutral,Participant_Images/101_Image_10.jpg,did not like
69,Riley,Neutral,Participant_Images/101_Image_12.jpg,did not like
70,Riley,Neutral,Participant_Images/101_Image_19.jpg,liked
71,Riley,Neutral,Participant_Images/101_Image_25.jpg,liked
72,Riley,Neutral,Participant_Images/101_Image_30.jpg,liked
73,Riley,Neutral,Participant_Images/101_Image_5.jpg,liked
74,Riley,Neutral,Participant_Images/101_Image_9.jpg,did not like
75,Riley,Neutral,Participant_Images/101_Image_8.jpg,liked
76,Riley,Neutral,Participant_Images/101_Image_18.jpg,liked
77,Riley,Neutral,Participant_Images/101_Image_2.jpg,did not like
78,Riley,Neutral,Participant_Images/101_Image_13.jpg,did not like
79,Riley,Neutral,Participant_Images/101_Image_1.jpg,did not like
80,Riley,Neutral,Participant_Images/101_Image_27.jpg,did not like
81,Riley,Neutral,Participant_Images/101_Image_15.jpg,liked
82,Riley,Neutral,Participant_Images/101_Image_3.jpg,did not like
83,Riley,Neutral,Participant_Images/101_Image_26.jpg,liked
84,Riley,Neutral,Participant_Images/101_Image_23.jpg,liked
85,Riley,Neutral,Participant_Images/101_Image_20.jpg,did not like
86,Riley,Neutral,Participant_Images/101_Image_6.jpg,did not like
87,Riley,Neutral,Participant_Images/101_Image_7.jpg,did not like
88,Riley,Neutral,Participant_Images/101_Image_28.jpg,liked
89,Riley,Neutral,Participant_Images/101_Image_11.jpg,liked
90,Riley,Neutral,Participant_Images/101_Image_29.jpg,did not like
